id,reporting_year,measurement_year,total_emissions,total_scope_1_emissions,total_scope_2_emissions,emission_status_id,city_id
182,2016,2014,4711576.0,1260355.0,3451221.0,1,31149
183,2016,2014,362078.0,9924.0,214496.0,3,59165
184,2016,2014,33428301.0,16075539.0,14511262.0,1,31108
185,2016,2014,29426266.0,29426266.0,,5,31167
186,2016,2011,283061.0,,,6,54088
187,2016,2011,5233350.0,4653611.0,579739.0,3,42178
188,2017,2014,12232310.0,2249502.0,9982808.0,2,49363
189,2017,2014,9236196.0,7069783.0,3408424.0,3,31171
190,2017,2015,52042186.0,38962264.0,14343743.0,3,3417
191,2017,2015,1604007.0,898681.0,759270.0,3,59537
192,2017,2013,10197555.0,10729801.0,61912.0,3,35894
193,2017,2010,405385.0,405382.0,37305.0,3,2430
194,2017,2015,773061.0,621179.0,171780.0,3,43937
195,2017,2014,3471000.0,,,3,16581
196,2017,2014,21458525.0,8327944.05,13130580.47,3,54386
197,2017,2014,1800000.0,,,6,49342
198,2017,2015,717200.0,717200.0,157607.0,3,54402
199,2017,2013,4467691.0,,,3,50541
200,2017,2015,840800.0,368300.0,472400.0,3,50154
201,2017,2015,1045993.0,612546.0,433447.0,3,54111
202,2017,2014,3609546.0,2381327.0,1228219.0,1,54085
203,2017,2016,2165653.0,1448514.0,717139.0,5,54046
204,2017,2013,3661647.0,3242166.0,366395.0,6,42120
205,2017,2014,33428301.0,18917039.0,14511262.0,4,31108
206,2017,2015,657636.0,524577.0,133059.0,2,59996
207,2017,2011,5379024.0,5360740.0,18284.0,2,50579
208,2017,2011,,17876.0,25566.0,3,60656
209,2017,2014,7215407.0,3322603.0,3892804.0,1,54337
210,2017,2013,2160365.0,726155.11,1434209.86,1,43907
211,2017,2014,7230859.0,12032078.0,3211447.0,2,35853
212,2017,2015,1796590.0,1834343.0,859099.0,3,3429
213,2017,2014,5489249.0,3359242.0,1836421.0,3,31175
214,2017,2013,30012000.0,,,1,31164
215,2017,2015,,,,6,59180
216,2017,2014,598143.0,461798.0,124510.0,1,58531
217,2017,2016,2042310.0,927177.0,1019659.0,1,54066
218,2017,2010,1142797.0,1145519.0,307336.0,6,35274
219,2017,2014,1898713.0,1775831.0,109527.0,3,50578
220,2017,2010,14330261.0,,,1,50375
221,2017,2012,15895005.0,11471148.0,5193851.0,1,35874
222,2017,2015,410305.0,274592.0,120637.0,1,58513
223,2017,2015,338925.0,189535.0,149390.0,3,53254
224,2017,2016,275461.0,161334.0,114127.0,3,58489
225,2017,2015,1110480.0,119026.0,215565.0,3,54110
226,2017,2015,7318055.0,7318055.0,3055900.0,3,35857
227,2017,2014,3160000.0,2974000.0,186000.0,3,50558
228,2017,2017,17672009.0,11726267.83,1126225.29,2,31154
229,2017,2012,5043860.0,3708292.0,,1,31146
230,2017,2015,13668164.44,18701564.74,13668164.44,2,54389
231,2017,2014,1630308.0,1067681.0,562627.0,3,36285
232,2017,2015,347483.0,124461.79,223021.63,3,58621
233,2017,2013,731230.0,,,1,54521
234,2017,2015,1971679.0,,,3,58310
235,2017,2016,148025.0,,,3,59595
236,2017,2014,2730235.35,1371400.0,1180239.0,1,54128
237,2017,2015,4752386.0,,,3,31177
238,2017,2014,35764526.0,21143194.6,14621331.42,2,54395
239,2017,2014,30870170.39,19535381.25,6812617.51,2,31172
240,2017,2014,3493456.0,2336425.0,1225862.0,2,50568
241,2017,2015,1729602.0,1134407.8,164574.2,5,57509
242,2017,2015,4981652.0,3765407.0,1076061.0,5,31182
243,2017,2007,402364.0,,,1,57616
244,2017,2013,28406420.0,18030830.0,10375589.0,3,31180
245,2017,2015,8026730.0,3635054.0,4175896.0,3,31090
246,2017,2014,6974544.0,4610317.0,2364227.0,3,14874
247,2017,2010,208681.0,,,6,69967
248,2017,2016,34190633.0,32619756.0,1570877.0,2,31179
249,2017,2013,740635.0,1305206.0,145259.0,2,50384
250,2017,2015,1652223.0,856008.0,774167.0,3,54075
251,2017,2015,4494883.0,2393341.15,542481.74,2,35848
252,2017,2015,47862539.0,30915232.0,18065288.0,2,31163
253,2017,2010,348347.0,348437.0,,3,59552
254,2017,2010,4174608.0,,,6,36037
255,2017,2015,15236693.0,4648959.0,10589996.0,2,49360
256,2017,2010,565382.0,565382.0,266221.0,3,50680
257,2017,2015,1450358.0,,,3,31009
258,2017,2014,1959900.0,,,3,31052
259,2017,2013,5012133.0,4045605.0,4276173.0,6,50359
260,2017,2016,350900.0,203727.0,147172.0,1,58590
261,2017,2016,1454781.0,,,1,53959
262,2017,2013,,,,6,60318
263,2017,2016,263199.0,,,1,58543
264,2017,2015,,2878153.0,1179791.0,1,50572
265,2017,2015,13357063.0,10215142.0,6361560.0,2,43912
266,2017,2015,57243.0,47552.0,9691.0,3,55616
267,2017,2015,1233581.0,914868.0,318713.0,3,54409
268,2017,2015,15.47,21.27,6.79,1,54388
269,2017,2017,2016320.0,,,6,42123
270,2017,2016,17679137.0,10178353.0,7502924.0,3,35475
271,2017,2014,70733403.0,33363185.0,43602201.0,1,31111
272,2017,2016,1424563.0,949707.2,474855.76,2,54113
273,2017,2014,13461292.0,6680194.0,5801169.0,2,49335
274,2017,2015,4383703.0,2653938.0,1647503.0,1,54048
275,2017,2015,5319010.0,785326.0,3632431.0,2,31109
276,2017,2014,171413.0,127138.0,40590.0,3,61790
277,2017,2016,2789724.0,2055000.0,2651000.0,3,8242
278,2017,2014,1785604.0,1175162.74,613341.01,3,46473
279,2017,2015,12114538.0,3576815.0,8540561.0,2,31446
280,2017,2016,413.0,366.0,447.0,3,35755
281,2017,2012,4654482.0,1624158.0,3303323.0,2,35885
282,2017,2015,21233880.0,11140682.0,12240934.0,3,35858
283,2017,2014,44900000.0,44876460.0,,2,31169
284,2017,2016,25680678.0,59059034.0,3609079.0,6,31174
285,2017,2014,17465.0,,,3,35868
286,2017,2014,,,,6,50382
287,2017,2014,2060963.0,1829808.0,904042.0,3,43920
288,2017,2015,1685403.0,2183429.0,384000.0,1,49327
289,2017,2011,32221.0,,,6,63616
290,2017,2015,1104.0,,,6,58461
291,2017,2010,1217091.0,663997.0,553094.0,5,54102
292,2017,2015,331282.0,247599.0,83684.0,3,59165
293,2017,2014,8388416.0,9488399.0,1260758.0,4,43932
294,2017,2012,17006642.0,17326232.0,4096511.0,2,31176
295,2017,2010,688706.0,,,2,49787
296,2017,2015,,812688.0,955102.0,2,54070
297,2017,2008,583213.0,,,4,58357
298,2017,2014,2193642.0,,1239622.0,2,54329
299,2017,2016,573347.0,204705.0,416528.0,5,32480
300,2017,2016,286477.0,201705.0,84745.0,2,50679
301,2017,2011,462586.0,462586.0,1197784.0,2,54354
302,2017,2014,3329110.0,2772810.0,556290.0,3,1499
303,2017,2015,1418344.0,776246.0,498717.0,3,36254
304,2017,2011,610773.0,,457173.0,6,59163
305,2017,2014,401323.0,277921.0,123402.0,3,55324
306,2017,2012,1462236.0,1518024.0,455838.0,1,55800
307,2017,2013,,438005.0,175583.0,4,36518
308,2017,2015,318191.27,158673.55,215622.45,1,60392
309,2017,2013,4125853.0,2686488.0,349791.0,2,31156
310,2017,2012,7739830.0,,,2,35995
311,2017,2017,10000.0,,,6,36036
312,2017,2015,2499107.0,2347304.0,52123.0,3,20113
313,2017,2015,806000.0,,,3,31165
314,2017,2011,1810370.0,,,5,36262
315,2017,2016,3783982.0,322689.0,3070197.0,3,31114
316,2017,2015,,63994.0,48080.0,3,59633
317,2017,2014,954541.0,913052.0,41488.0,1,50559
318,2017,2015,103807.0,91450.0,12287.0,1,59160
319,2017,2014,16498864.0,9801806.0,6627058.0,1,43905
320,2017,2010,615224.0,193345.0,421879.0,3,58485
321,2017,2015,6462495.0,4071657.0,2463589.0,2,35268
322,2017,2013,1484767.0,,789568.0,5,55801
323,2017,2016,435594.0,423244.0,3003.0,5,60680
324,2017,2016,1600000.0,,,3,54408
